theta_deg,F1E,FH,FE
0.00000,1.000000,1.000000,1.000000
0.57296,0.999927,1.000000,0.999927
0.57353,0.999926,1.000000,0.999926
0.57410,0.999926,1.000000,0.999926
0.57468,0.999926,1.000000,0.999926
0.57525,0.999926,1.000000,0.999926
0.57582,0.999926,1.000000,0.999926
0.57640,0.999926,1.000000,0.999926
0.57697,0.999926,1.000000,0.999926
0.57754,0.999925,1.000000,0.999925
0.57811,0.999925,1.000000,0.999925
0.57869,0.999925,1.000000,0.999925
0.57926,0.999925,1.000000,0.999925
0.57983,0.999925,1.000000,0.999925
0.58041,0.999925,1.000000,0.999925
0.58098,0.999925,1.000000,0.999925
0.58155,0.999924,1.000000,0.999924
0.58213,0.999924,1.000000,0.999924
0.58270,0.999924,1.000000,0.999924
0.58327,0.999924,1.000000,0.999924
0.58384,0.999924,1.000000,0.999924
0.58442,0.999924,1.000000,0.999924
0.58499,0.999924,1.000000,0.999924
0.58556,0.999923,1.000000,0.999923
0.58614,0.999923,1.000000,0.999923
0.58671,0.999923,1.000000,0.999923
0.58728,0.999923,1.000000,0.999923
0.58785,0.999923,1.000000,0.999923
0.58843,0.999923,1.000000,0.999923
0.58900,0.999922,1.000000,0.999922
0.58957,0.999922,1.000000,0.999922
0.59015,0.999922,1.000000,0.999922
0.59072,0.999922,1.000000,0.999922
0.59129,0.999922,1.000000,0.999922
0.59187,0.999922,1.000000,0.999922
0.59244,0.999922,1.000000,0.999922
0.59301,0.999921,1.000000,0.999921
0.59358,0.999921,1.000000,0.999921
0.59416,0.999921,1.000000,0.999921
0.59473,0.999921,1.000000,0.999921
0.59530,0.999921,1.000000,0.999921
0.59588,0.999921,1.000000,0.999921
0.59645,0.999920,1.000000,0.999920
0.59702,0.999920,1.000000,0.999920
0.59759,0.999920,1.000000,0.999920
0.59817,0.999920,1.000000,0.999920
0.59874,0.999920,1.000000,0.999920
0.59931,0.999920,1.000000,0.999920
0.59989,0.999920,1.000000,0.999920
0.60046,0.999919,1.000000,0.999919
0.60103,0.999919,1.000000,0.999919
0.60161,0.999919,1.000000,0.999919
0.60218,0.999919,1.000000,0.999919
0.60275,0.999919,1.000000,0.999919
0.60332,0.999919,1.000000,0.999919
0.60390,0.999918,1.000000,0.999918
0.60447,0.999918,1.000000,0.999918
0.60504,0.999918,1.000000,0.999918
0.60562,0.999918,1.000000,0.999918
0.60619,0.999918,1.000000,0.999918
0.60676,0.999918,1.000000,0.999918
0.60734,0.999918,1.000000,0.999918
0.60791,0.999917,1.000000,0.999917
0.60848,0.999917,1.000000,0.999917
0.60905,0.999917,1.000000,0.999917
0.60963,0.999917,1.000000,0.999917
0.61020,0.999917,1.000000,0.999917
0.61077,0.999917,1.000000,0.999917
0.61135,0.999916,1.000000,0.999916
0.61192,0.999916,1.000000,0.999916
0.61249,0.999916,1.000000,0.999916
0.61306,0.999916,1.000000,0.999916
0.61364,0.999916,1.000000,0.999916
0.61421,0.999916,1.000000,0.999916
0.61478,0.999916,1.000000,0.999916
0.61536,0.999915,1.000000,0.999915
0.61593,0.999915,1.000000,0.999915
0.61650,0.999915,1.000000,0.999915
0.61708,0.999915,1.000000,0.999915
0.61765,0.999915,1.000000,0.999915
0.61822,0.999915,1.000000,0.999915
0.61879,0.999914,1.000000,0.999914
0.61937,0.999914,1.000000,0.999914
0.61994,0.999914,1.000000,0.999914
0.62051,0.999914,1.000000,0.999914
0.62109,0.999914,1.000000,0.999914
0.62166,0.999914,1.000000,0.999914
0.62223,0.999913,1.000000,0.999913
0.62281,0.999913,1.000000,0.999913
0.62338,0.999913,1.000000,0.999913
0.62395,0.999913,1.000000,0.999913
0.62452,0.999913,1.000000,0.999913
0.62510,0.999913,1.000000,0.999913
0.62567,0.999913,1.000000,0.999912
0.62624,0.999912,1.000000,0.999912
0.62682,0.999912,1.000000,0.999912
0.62739,0.999912,1.000000,0.999912
0.62796,0.999912,1.000000,0.999912
0.62853,0.999912,1.000000,0.999912
0.62911,0.999912,1.000000,0.999912
0.62968,0.999911,1.000000,0.999911
0.63025,0.999911,1.000000,0.999911
0.63083,0.999911,1.000000,0.999911
0.63140,0.999911,1.000000,0.999911
0.63197,0.999911,1.000000,0.999911
0.63255,0.999911,1.000000,0.999911
0.63312,0.999910,1.000000,0.999910
0.63369,0.999910,1.000000,0.999910
0.63426,0.999910,1.000000,0.999910
0.63484,0.999910,1.000000,0.999910
0.63541,0.999910,1.000000,0.999910
0.63598,0.999910,1.000000,0.999910
0.63656,0.999909,1.000000,0.999909
0.63713,0.999909,1.000000,0.999909
0.63770,0.999909,1.000000,0.999909
0.63827,0.999909,1.000000,0.999909
0.63885,0.999909,1.000000,0.999909
0.63942,0.999909,1.000000,0.999909
0.63999,0.999908,1.000000,0.999908
0.64057,0.999908,1.000000,0.999908
0.64114,0.999908,1.000000,0.999908
0.64171,0.999908,1.000000,0.999908
0.64229,0.999908,1.000000,0.999908
0.64286,0.999908,1.000000,0.999908
0.64343,0.999907,1.000000,0.999907
0.64400,0.999907,1.000000,0.999907
0.64458,0.999907,1.000000,0.999907
0.64515,0.999907,1.000000,0.999907
0.64572,0.999907,1.000000,0.999907
0.64630,0.999907,1.000000,0.999907
0.64687,0.999906,1.000000,0.999906
0.64744,0.999906,1.000000,0.999906
0.64802,0.999906,1.000000,0.999906
0.64859,0.999906,1.000000,0.999906
0.64916,0.999906,1.000000,0.999906
0.64973,0.999906,1.000000,0.999906
0.65031,0.999905,1.000000,0.999905
0.65088,0.999905,1.000000,0.999905
0.65145,0.999905,1.000000,0.999905
0.65203,0.999905,1.000000,0.999905
0.65260,0.999905,1.000000,0.999905
0.65317,0.999905,1.000000,0.999905
0.65374,0.999904,1.000000,0.999904
0.65432,0.999904,1.000000,0.999904
0.65489,0.999904,1.000000,0.999904
0.65546,0.999904,1.000000,0.999904
0.65604,0.999904,1.000000,0.999904
0.65661,0.999904,1.000000,0.999904
0.65718,0.999903,1.000000,0.999903
0.65776,0.999903,1.000000,0.999903
0.65833,0.999903,1.000000,0.999903
0.65890,0.999903,1.000000,0.999903
0.65947,0.999903,1.000000,0.999903
0.66005,0.999903,1.000000,0.999903
0.66062,0.999902,1.000000,0.999902
0.66119,0.999902,1.000000,0.999902
0.66177,0.999902,1.000000,0.999902
0.66234,0.999902,1.000000,0.999902
0.66291,0.999902,1.000000,0.999902
0.66349,0.999902,1.000000,0.999902
0.66406,0.999901,1.000000,0.999901
0.66463,0.999901,1.000000,0.999901
0.66520,0.999901,1.000000,0.999901
0.66578,0.999901,1.000000,0.999901
0.66635,0.999901,1.000000,0.999901
0.66692,0.999901,1.000000,0.999901
0.66750,0.999900,1.000000,0.999900
0.66807,0.999900,1.000000,0.999900
0.66864,0.999900,1.000000,0.999900
0.66921,0.999900,1.000000,0.999900
0.66979,0.999900,1.000000,0.999900
0.67036,0.999900,1.000000,0.999900
0.67093,0.999899,1.000000,0.999899
0.67151,0.999899,1.000000,0.999899
0.67208,0.999899,1.000000,0.999899
0.67265,0.999899,1.000000,0.999899
0.67323,0.999899,1.000000,0.999899
0.67380,0.999899,1.000000,0.999899
0.67437,0.999898,1.000000,0.999898
0.67494,0.999898,1.000000,0.999898
0.67552,0.999898,1.000000,0.999898
0.67609,0.999898,1.000000,0.999898
0.67666,0.999898,1.000000,0.999898
0.67724,0.999897,1.000000,0.999897
0.67781,0.999897,1.000000,0.999897
0.67838,0.999897,1.000000,0.999897
0.67895,0.999897,1.000000,0.999897
0.67953,0.999897,1.000000,0.999897
0.68010,0.999897,1.000000,0.999897
0.68067,0.999896,1.000000,0.999896
0.68125,0.999896,1.000000,0.999896
0.68182,0.999896,1.000000,0.999896
0.68239,0.999896,1.000000,0.999896
0.68297,0.999896,1.000000,0.999896
0.68354,0.999896,1.000000,0.999896
0.68411,0.999895,1.000000,0.999895
0.68468,0.999895,1.000000,0.999895
0.68526,0.999895,1.000000,0.999895
0.68583,0.999895,1.000000,0.999895
0.68640,0.999895,1.000000,0.999895
0.68698,0.999895,1.000000,0.999894
0.68755,0.999894,1.000000,0.999894
0.68812,0.999894,1.000000,0.999894
0.68870,0.999894,1.000000,0.999894
0.68927,0.999894,1.000000,0.999894
0.68984,0.999894,1.000000,0.999894
0.69041,0.999893,1.000000,0.999893
0.69099,0.999893,1.000000,0.999893
0.69156,0.999893,1.000000,0.999893
0.69213,0.999893,1.000000,0.999893
0.69271,0.999893,1.000000,0.999893
0.69328,0.999893,1.000000,0.999893
0.69385,0.999892,1.000000,0.999892
0.69442,0.999892,1.000000,0.999892
0.69500,0.999892,1.000000,0.999892
0.69557,0.999892,1.000000,0.999892
0.69614,0.999892,1.000000,0.999892
0.69672,0.999892,1.000000,0.999891
0.69729,0.999891,1.000000,0.999891
0.69786,0.999891,1.000000,0.999891
0.69844,0.999891,1.000000,0.999891
0.69901,0.999891,1.000000,0.999891
0.69958,0.999891,1.000000,0.999891
0.70015,0.999890,1.000000,0.999890
0.70073,0.999890,1.000000,0.999890
0.70130,0.999890,1.000000,0.999890
0.70187,0.999890,1.000000,0.999890
0.70245,0.999890,1.000000,0.999890
0.70302,0.999890,1.000000,0.999890
0.70359,0.999889,1.000000,0.999889
0.70417,0.999889,1.000000,0.999889
0.70474,0.999889,1.000000,0.999889
0.70531,0.999889,1.000000,0.999889
0.70588,0.999889,1.000000,0.999889
0.70646,0.999888,1.000000,0.999888
0.70703,0.999888,1.000000,0.999888
0.70760,0.999888,1.000000,0.999888
0.70818,0.999888,1.000000,0.999888
0.70875,0.999888,1.000000,0.999888
0.70932,0.999888,1.000000,0.999888
0.70989,0.999887,1.000000,0.999887
0.71047,0.999887,1.000000,0.999887
0.71104,0.999887,1.000000,0.999887
0.71161,0.999887,1.000000,0.999887
0.71219,0.999887,1.000000,0.999887
0.71276,0.999886,1.000000,0.999886
0.71333,0.999886,1.000000,0.999886
0.71391,0.999886,1.000000,0.999886
0.71448,0.999886,1.000000,0.999886
0.71505,0.999886,1.000000,0.999886
0.71562,0.999886,1.000000,0.999886
0.71620,0.999885,1.000000,0.999885
0.71677,0.999885,1.000000,0.999885
0.71734,0.999885,1.000000,0.999885
0.71792,0.999885,1.000000,0.999885
0.71849,0.999885,1.000000,0.999885
0.71906,0.999884,1.000000,0.999884
0.71963,0.999884,1.000000,0.999884
0.72021,0.999884,1.000000,0.999884
0.72078,0.999884,1.000000,0.999884
0.72135,0.999884,1.000000,0.999884
0.72193,0.999884,1.000000,0.999883
0.72250,0.999883,1.000000,0.999883
0.72307,0.999883,1.000000,0.999883
0.72365,0.999883,1.000000,0.999883
0.72422,0.999883,1.000000,0.999883
0.72479,0.999883,1.000000,0.999883
0.72536,0.999882,1.000000,0.999882
0.72594,0.999882,1.000000,0.999882
0.72651,0.999882,1.000000,0.999882
0.72708,0.999882,1.000000,0.999882
0.72766,0.999882,1.000000,0.999882
0.72823,0.999881,1.000000,0.999881
0.72880,0.999881,1.000000,0.999881
0.72938,0.999881,1.000000,0.999881
0.72995,0.999881,1.000000,0.999881
0.73052,0.999881,1.000000,0.999881
0.73109,0.999881,1.000000,0.999881
0.73167,0.999880,1.000000,0.999880
0.73224,0.999880,1.000000,0.999880
0.73281,0.999880,1.000000,0.999880
0.73339,0.999880,1.000000,0.999880
0.73396,0.999880,1.000000,0.999880
0.73453,0.999879,1.000000,0.999879
0.73510,0.999879,1.000000,0.999879
0.73568,0.999879,1.000000,0.999879
0.73625,0.999879,1.000000,0.999879
0.73682,0.999879,1.000000,0.999879
0.73740,0.999878,1.000000,0.999878
0.73797,0.999878,1.000000,0.999878
0.73854,0.999878,1.000000,0.999878
0.73912,0.999878,1.000000,0.999878
0.73969,0.999878,1.000000,0.999878
0.74026,0.999878,1.000000,0.999877
0.74083,0.999877,1.000000,0.999877
0.74141,0.999877,1.000000,0.999877
0.74198,0.999877,1.000000,0.999877
0.74255,0.999877,1.000000,0.999877
0.74313,0.999877,1.000000,0.999877
0.74370,0.999876,1.000000,0.999876
0.74427,0.999876,1.000000,0.999876
0.74485,0.999876,1.000000,0.999876
0.74542,0.999876,1.000000,0.999876
0.74599,0.999876,1.000000,0.999876
0.74656,0.999875,1.000000,0.999875
0.74714,0.999875,1.000000,0.999875
0.74771,0.999875,1.000000,0.999875
0.74828,0.999875,1.000000,0.999875
0.74886,0.999875,1.000000,0.999875
0.74943,0.999874,1.000000,0.999874
0.75000,0.999874,1.000000,0.999874
0.75057,0.999874,1.000000,0.999874
0.75115,0.999874,1.000000,0.999874
0.75172,0.999874,1.000000,0.999874
0.75229,0.999874,1.000000,0.999873
0.75287,0.999873,1.000000,0.999873
0.75344,0.999873,1.000000,0.999873
0.75401,0.999873,1.000000,0.999873
0.75459,0.999873,1.000000,0.999873
0.75516,0.999873,1.000000,0.999873
0.75573,0.999872,1.000000,0.999872
0.75630,0.999872,1.000000,0.999872
0.75688,0.999872,1.000000,0.999872
0.75745,0.999872,1.000000,0.999872
0.75802,0.999872,1.000000,0.999872
0.75860,0.999871,1.000000,0.999871
0.75917,0.999871,1.000000,0.999871
0.75974,0.999871,1.000000,0.999871
0.76031,0.999871,1.000000,0.999871
0.76089,0.999871,1.000000,0.999871
0.76146,0.999870,1.000000,0.999870
0.76203,0.999870,1.000000,0.999870
0.76261,0.999870,1.000000,0.999870
0.76318,0.999870,1.000000,0.999870
0.76375,0.999870,1.000000,0.999870
0.76433,0.999869,1.000000,0.999869
0.76490,0.999869,1.000000,0.999869
0.76547,0.999869,1.000000,0.999869
0.76604,0.999869,1.000000,0.999869
0.76662,0.999869,1.000000,0.999869
0.76719,0.999868,1.000000,0.999868
0.76776,0.999868,1.000000,0.999868
0.76834,0.999868,1.000000,0.999868
