theta_deg,F1,FC_E,FC_H,F_E,F_H
0.00000,1.000000,1.000000,1.000000,1.000000,1.000000
0.00573,1.000000,1.000000,1.000000,1.000000,1.000000
0.01146,1.000000,0.999999,1.000000,0.999999,0.999999
0.01719,1.000000,0.999998,0.999999,0.999998,0.999999
0.02292,1.000000,0.999997,0.999998,0.999996,0.999998
0.02865,1.000000,0.999995,0.999997,0.999994,0.999997
0.03438,1.000000,0.999992,0.999996,0.999992,0.999995
0.04011,1.000000,0.999989,0.999994,0.999989,0.999994
0.04584,1.000000,0.999986,0.999992,0.999986,0.999992
0.05157,1.000000,0.999982,0.999990,0.999982,0.999990
0.05730,1.000000,0.999978,0.999988,0.999978,0.999987
0.06303,1.000000,0.999974,0.999985,0.999973,0.999985
0.06875,1.000000,0.999969,0.999982,0.999968,0.999982
0.07448,1.000000,0.999963,0.999979,0.999963,0.999979
0.08021,1.000000,0.999957,0.999976,0.999957,0.999975
0.08594,0.999999,0.999951,0.999972,0.999950,0.999972
0.09167,0.999999,0.999944,0.999968,0.999944,0.999968
0.09740,0.999999,0.999937,0.999964,0.999936,0.999964
0.10313,0.999999,0.999930,0.999960,0.999929,0.999959
0.10886,0.999999,0.999921,0.999955,0.999921,0.999954
0.11459,0.999999,0.999913,0.999951,0.999912,0.999950
0.12032,0.999999,0.999904,0.999945,0.999903,0.999944
0.12605,0.999999,0.999895,0.999940,0.999894,0.999939
0.13178,0.999999,0.999885,0.999935,0.999884,0.999933
0.13751,0.999999,0.999875,0.999929,0.999873,0.999927
0.14324,0.999998,0.999864,0.999923,0.999862,0.999921
0.14897,0.999998,0.999853,0.999916,0.999851,0.999915
0.15470,0.999998,0.999841,0.999910,0.999840,0.999908
0.16043,0.999998,0.999829,0.999903,0.999828,0.999901
0.16616,0.999998,0.999817,0.999896,0.999815,0.999894
0.17189,0.999998,0.999804,0.999889,0.999802,0.999887
0.17762,0.999998,0.999791,0.999881,0.999789,0.999879
0.18335,0.999997,0.999777,0.999873,0.999775,0.999871
0.18908,0.999997,0.999763,0.999865,0.999760,0.999863
