theta_deg,FH_single,FE_single,FH_double,FE_double
0.00000,1.000000,1.000000,1.000000,1.000000
0.00573,1.000000,1.000000,0.999999,0.999999
0.01146,1.000000,1.000000,0.999997,0.999997
0.01719,0.999999,0.999999,0.999994,0.999994
0.02292,0.999999,0.999999,0.999990,0.999990
0.02865,0.999999,0.999998,0.999984,0.999984
0.03438,0.999998,0.999998,0.999977,0.999977
0.04011,0.999997,0.999997,0.999969,0.999969
0.04584,0.999996,0.999996,0.999959,0.999959
0.05157,0.999995,0.999995,0.999949,0.999948
0.05730,0.999994,0.999994,0.999937,0.999936
0.06303,0.999993,0.999992,0.999923,0.999923
0.06875,0.999992,0.999991,0.999909,0.999908
0.07448,0.999990,0.999989,0.999893,0.999892
0.08021,0.999989,0.999988,0.999876,0.999875
0.08594,0.999987,0.999986,0.999858,0.999856
0.09167,0.999985,0.999984,0.999838,0.999837
0.09740,0.999983,0.999982,0.999817,0.999816
0.10313,0.999981,0.999980,0.999795,0.999793
0.10886,0.999979,0.999977,0.999771,0.999770
0.11459,0.999977,0.999975,0.999747,0.999745
0.12032,0.999975,0.999972,0.999721,0.999719
0.12605,0.999972,0.999970,0.999694,0.999691
0.13178,0.999969,0.999967,0.999665,0.999662
0.13751,0.999967,0.999964,0.999635,0.999632
0.14324,0.999964,0.999961,0.999604,0.999601
0.14897,0.999961,0.999958,0.999572,0.999569
0.15470,0.999958,0.999954,0.999538,0.999535
0.16043,0.999955,0.999951,0.999504,0.999500
0.16616,0.999951,0.999947,0.999468,0.999463
0.17189,0.999948,0.999943,0.999430,0.999426
0.17762,0.999944,0.999940,0.999392,0.999387
0.18335,0.999941,0.999936,0.999352,0.999347
0.18908,0.999937,0.999932,0.999311,0.999305
0.19481,0.999933,0.999927,0.999268,0.999262
0.20054,0.999929,0.999923,0.999224,0.999218
0.20626,0.999925,0.999919,0.999180,0.999173
0.21199,0.999921,0.999914,0.999133,0.999126
0.21772,0.999917,0.999909,0.999086,0.999079
0.22345,0.999912,0.999904,0.999037,0.999030
0.22918,0.999908,0.999900,0.998987,0.998979
0.23491,0.999903,0.999894,0.998936,0.998927
0.24064,0.999898,0.999889,0.998883,0.998875
0.24637,0.999893,0.999884,0.998830,0.998820
0.25210,0.999888,0.999878,0.998774,0.998765
0.25783,0.999883,0.999873,0.998718,0.998708
0.26356,0.999878,0.999867,0.998661,0.998650
0.26929,0.999872,0.999861,0.998602,0.998591
0.27502,0.999867,0.999855,0.998542,0.998530
0.28075,0.999861,0.999849,0.998480,0.998468
0.28648,0.999855,0.999843,0.998418,0.998405
0.29221,0.999850,0.999837,0.998354,0.998341
0.29794,0.999844,0.999830,0.998289,0.998275
0.30367,0.999838,0.999824,0.998222,0.998208
0.30940,0.999831,0.999817,0.998154,0.998140
0.31513,0.999825,0.999810,0.998085,0.998070
0.32086,0.999819,0.999803,0.998015,0.998000
0.32659,0.999812,0.999796,0.997944,0.997928
0.33232,0.999806,0.999789,0.997871,0.997854
0.33805,0.999799,0.999781,0.997797,0.997780
0.34377,0.999792,0.999774,0.997722,0.997704
0.34950,0.999785,0.999766,0.997645,0.997627
0.35523,0.999778,0.999759,0.997567,0.997548
0.36096,0.999771,0.999751,0.997488,0.997468
0.36669,0.999763,0.999743,0.997408,0.997388
0.37242,0.999756,0.999735,0.997326,0.997305
0.37815,0.999748,0.999726,0.997244,0.997222
