link_name,distance_m,terrain_m,los_line_m,fresnel_m,clearance_m
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,0.0,182.0,197.0,0.0,15.0
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,17.99,182.0,196.45,0.98,14.45
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,35.98,182.0,195.9,1.37,13.9
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,53.96,182.0,195.35,1.65,13.35
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,71.95,183.0,194.8,1.88,11.8
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,89.94,183.0,194.25,2.07,11.25
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,107.93,184.0,193.7,2.24,9.7
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,125.92,185.0,193.15,2.38,8.15
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,143.91,185.0,192.6,2.51,7.6
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,161.89,186.0,192.05,2.62,6.05
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,179.88,185.0,191.5,2.71,6.5
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,197.87,185.0,190.95,2.8,5.95
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,215.86,184.0,190.4,2.87,6.4
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,233.85,183.0,189.85,2.93,6.85
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,251.83,182.0,189.3,2.99,7.3
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,269.82,182.0,188.75,3.03,6.75
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,287.81,181.0,188.2,3.07,7.2
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,305.8,181.0,187.65,3.1,6.65
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,323.79,182.0,187.1,3.12,5.1
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,341.78,182.0,186.55,3.13,4.55
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,359.76,182.0,186.0,3.13,4.0
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,377.75,183.0,185.45,3.13,2.45
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,395.74,183.0,184.9,3.12,1.9
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,413.73,183.0,184.35,3.1,1.35
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,431.72,183.0,183.8,3.07,0.8
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,449.7,182.0,183.25,3.03,1.25
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,467.69,182.0,182.7,2.99,0.7
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,485.68,181.0,182.15,2.93,1.15
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,503.67,181.0,181.6,2.87,0.6
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,521.66,180.0,181.05,2.8,1.05
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,539.65,180.0,180.5,2.71,0.5
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,557.63,179.0,179.95,2.62,0.95
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,575.62,179.0,179.4,2.51,0.4
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,593.61,178.0,178.85,2.38,0.85
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,611.6,177.0,178.3,2.24,1.3
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,629.59,177.0,177.75,2.07,0.75
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,647.57,176.0,177.2,1.88,1.2
