link_name,scenario,signal_dbm,capacity_mbps,mcs,noise_floor_dbm
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,"Noise Free, без опадів",-55.2,650.0,MCS9 / 256QAM 5/6,-100.0
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,"Noise Free, дощ 5 мм/год",-55.3,650.0,MCS9 / 256QAM 5/6,-100.0
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,"Rural, без опадів",-55.2,650.0,MCS9 / 256QAM 5/6,-96.0
PtP nLOS: Головний корпус ХАІ - гуртожиток №10,"Urban, без опадів",-55.2,585.0,MCS8 / 256QAM 3/4,-89.0
PtP LOS: Головний корпус ХАІ - гуртожиток №10,"Noise Free, без опадів",-51.9,650.0,MCS9 / 256QAM 5/6,-100.0
PtP LOS: Головний корпус ХАІ - гуртожиток №10,"Noise Free, дощ 5 мм/год",-51.9,650.0,MCS9 / 256QAM 5/6,-100.0
PtP LOS: Головний корпус ХАІ - гуртожиток №10,"Rural, без опадів",-51.9,650.0,MCS9 / 256QAM 5/6,-96.0
PtP LOS: Головний корпус ХАІ - гуртожиток №10,"Urban, без опадів",-51.9,650.0,MCS9 / 256QAM 5/6,-89.0
PtMP AP1 -> Station1 (гуртожиток №10),"Noise Free, без опадів",-55.9,650.0,MCS9 / 256QAM 5/6,-100.0
PtMP AP1 -> Station1 (гуртожиток №10),"Noise Free, дощ 5 мм/год",-55.9,650.0,MCS9 / 256QAM 5/6,-100.0
PtMP AP1 -> Station1 (гуртожиток №10),"Rural, без опадів",-55.9,650.0,MCS9 / 256QAM 5/6,-96.0
PtMP AP1 -> Station1 (гуртожиток №10),"Urban, без опадів",-55.9,585.0,MCS8 / 256QAM 3/4,-89.0
PtMP AP1 -> Station2 (гуртожиток №11),"Noise Free, без опадів",-56.1,650.0,MCS9 / 256QAM 5/6,-100.0
PtMP AP1 -> Station2 (гуртожиток №11),"Noise Free, дощ 5 мм/год",-56.1,650.0,MCS9 / 256QAM 5/6,-100.0
PtMP AP1 -> Station2 (гуртожиток №11),"Rural, без опадів",-56.1,650.0,MCS9 / 256QAM 5/6,-96.0
PtMP AP1 -> Station2 (гуртожиток №11),"Urban, без опадів",-56.1,585.0,MCS8 / 256QAM 3/4,-89.0
PtMP AP1 -> Station3 (гуртожиток №12),"Noise Free, без опадів",-56.5,650.0,MCS9 / 256QAM 5/6,-100.0
PtMP AP1 -> Station3 (гуртожиток №12),"Noise Free, дощ 5 мм/год",-56.5,650.0,MCS9 / 256QAM 5/6,-100.0
PtMP AP1 -> Station3 (гуртожиток №12),"Rural, без опадів",-56.5,650.0,MCS9 / 256QAM 5/6,-96.0
PtMP AP1 -> Station3 (гуртожиток №12),"Urban, без опадів",-56.5,585.0,MCS8 / 256QAM 3/4,-89.0
